local;estacao;patrimonio;item_informado;tipo;fabricante;modelo;numero_serie;status_importacao;observacoes
Escritura;Jhessyca Borborema;1303;Monitor 1303;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Monitor 1303.; Nome GLPI: DELL 1303.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Jhessyca Borborema;1445;Optiplex 1445;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Optiplex 1445.; Nome GLPI: PC-1445.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Origem GLPI: glpi (8).csv."
Escritura;Jhessyca Borborema;1387;Monitor 1387;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Monitor 1387.; Nome GLPI: DELL 1387.; Referencia GLPI desatualizada: grupo=Inventario; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Jhessyca Borborema;1111;Biometria 1111;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster DX;;OK;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Biometria 1111.; Nome GLPI: Leitor Biometrico 1111.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Jhessyca Borborema;1964;Webcam 1964;Webcam;;;;REVISAO;"Levantamento atual: Escritura / Jhessyca Borborema.; Item informado: Webcam 1964.; Nome GLPI: Webcam 1964.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Auxiliar Jhessyca;1441;Optiplex 1441;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Optiplex 1441.; Nome GLPI: PC-1441.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Auxiliar Jhessyca;1453;Teclado 1453;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Teclado 1453.; Nome GLPI: TECLADO 1453.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Jhessyca;1940;Mouse 1940;Mouse;;;;REVISAO;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Mouse 1940.; Nome GLPI: Mouse 1940.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Auxiliar Jhessyca;1862;Headset 1862;Headset;Zox Telecom;DH-80;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Headset 1862.; Nome GLPI: HEADSET ZOX 1862.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Jhessyca;1113;Monitor 1113;Monitor;Dell Inc.;DELL E1912H;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Monitor 1113.; Nome GLPI: DELL 1113.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Jhessyca;1388;Monitor 1388;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Monitor 1388.; Nome GLPI: DELL 1388.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Jhessyca;1523;Biometria 1523;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster DX;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Biometria 1523.; Nome GLPI: Leitor Biometrico 1523.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Jhessyca;1418;Webcam 1418;Webcam;Logitech, Inc.;C920 PRO HD;;OK;"Levantamento atual: Escritura / Auxiliar Jhessyca.; Item informado: Webcam 1418.; Nome GLPI: WEBCAM 1418.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Nilva;1781;Teclado 1781;Teclado;Dell Inc.;DELL - Teclado USB KB-216;;OK;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Teclado 1781.; Nome GLPI: TECLADO 1781.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Nilva;1955;Mouse 1955;Mouse;;;;REVISAO;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Mouse 1955.; Nome GLPI: Mouse 1955.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Auxiliar Nilva;1337;Vostro 1337;Desktop;Dell Inc.;Vostro 3470;;OK;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Vostro 1337.; Nome GLPI: PC-1337.; Processador: Intel Core i5-9400 CPU @ 2.90GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Auxiliar Nilva;0711;Monitor 0711;Monitor;Dell Inc.;DELL D1901N;;OK;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Monitor 0711.; Nome GLPI: DELL 0711.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Auxiliar Nilva;;Webcam sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Escritura;Auxiliar Nilva;1379;Biometria 1379;Biometria;NITGen Co., Ltd;Nitgen FingKey Hamster DX;;OK;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Biometria 1379.; Nome GLPI: Leitor Biometrico 1379.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Auxiliar Nilva;1381;Monitor 1381;Monitor;Dell Inc.;DELL P2219H;;OK;"Levantamento atual: Escritura / Auxiliar Nilva.; Item informado: Monitor 1381.; Nome GLPI: DELL 1381.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
Escritura;Nilva;0167;Teclado 0167;Teclado;Dell Inc.;DELL - Teclado USB SK-8115;;OK;"Levantamento atual: Escritura / Nilva.; Item informado: Teclado 0167.; Nome GLPI: TECLADO 0167.; Referencia GLPI desatualizada: grupo=Caixa 4; usuario=-.; Origem GLPI: glpi (11).csv."
Escritura;Nilva;;Mouse sem patrimonio;;;;;REVISAO;Sem numero de patrimonio informado
Escritura;Nilva;0864;Biometria 0864;Biometria;;;;REVISAO;"Levantamento atual: Escritura / Nilva.; Item informado: Biometria 0864.; Nome GLPI: Biometria 0864.; Revisar: patrimonio nao localizado nas planilhas GLPI fornecidas; descricao baseada no levantamento manual."
Escritura;Nilva;1436;Optiplex 1436;Desktop;Dell Inc.;OptiPlex 3080;;OK;"Levantamento atual: Escritura / Nilva.; Item informado: Optiplex 1436.; Nome GLPI: PC-1436.; Processador: Intel Core i5-10500T CPU @ 2.30GHz.; Sistema operacional: Microsoft Windows 10 Pro.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (8).csv."
Escritura;Nilva;1399;Monitor 1399;Monitor;Dell Inc.;DELL SE2216H;;OK;"Levantamento atual: Escritura / Nilva.; Item informado: Monitor 1399.; Nome GLPI: DELL 1399.; Referencia GLPI desatualizada: grupo=Escritura; usuario=-.; Origem GLPI: glpi (9).csv."
